source;sheet;row;code;resolved_factory;inn;name;output;status;changed;applied;problems
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1535;624-253611;"ООО ""Восточная арматурная компания""
, ИНН 0275057393";0275057393;Затвор дисковый двухстороннего действия с тройным эксцентриситетом DN 250 PN 1,6 МПа фланцевый, с уплотнением металл-фторопласт, из хладостойкой стали, исполнение фланцев Е по ГОСТ 33259-2015, с КОФ . Климатическое исполнение ХЛ1 по ГОСТ 15150-69. Герметичность затвора класс А по ГОСТ 9544-2015. ЗД.2-ВАРК-250-16-01-10 по типу ТУ 3741-009-97965425-2007№ 50-01/АВ-023613 от 19 июня 2024 г. п. 1. Масса-0,21 т.;Затвор дисковый двухстороннего действия с тройным эксцентриситетом DN 250 PN 1,6 МПа фланцевый, с уплотнением металл-фторопласт, из хладостойкой стали, исполнение фланцев Е по ГОСТ 33259-2015, с КОФ. Климатическое исполнение ХЛ1 по ГОСТ 15150-69. Герметичность затвора класс А по ГОСТ 9544-2015. ЗД.2- -250-16-01-10 № 50-01/АВ-023613 от 19 июня 2024 г. п. 1. Масса-0,21 т;ЗЕЛЁНЫЙ;True;ВАРК;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;911;13-245806-С;"ООО ""Завод ТАТКАБЕЛЬ"", Россия, с. Столбище, ИНН 1657259971, КПП 168401001, office@invent.group";1657259971;Кабель 4х35мк(PE)-1 ИнСил-ВБВнг(А)-LS по типу ТУ 3500-002-92800518-2013.;Кабель 4х35мк(PE)-1 ИнСил-ВБВнг(А)-LS;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1900;644-469989-1;"ООО ""Группа ""РГТ"", ИНН 9718006686";9718006686;Колодец приемный зачистки аварийного резервуара DN 80 ТУ 28.99.39.190-001-02366053-2019. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0724.60а-ТХВ.ОЛ2 (изм.1) инв.№10176366.;Колодец приемный зачистки аварийного резервуара DN 80 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0724.60а-ТХВ.ОЛ2 (изм.1) инв.№10176366;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1008;604-455647-Ш;"ООО ""АЭРО ИКСИА"", ИНН 3257017280";3257017280;Шефмонтажные работы. Система кондиционирования АЭРО ИКСИА в составе: внутренний блок прецизионного кондиционера AI-FC-D-251-A (2 шт), наружный блок конденсатора воздушного охлаждения AI-KCB27-2 (2 шт), дренажный насос (2 шт), регулятор давления (2 шт), блок ротации (1 шт) ТУ 4862-005-22330703-2015 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4408.105-ОВ.ОЛ4 инв.№026140/0004, 0092.049.Р.13/1.0004.УКПГ.045.4408.105-ОВ.Н4 инв.№026243/0004.;Шефмонтажные работы. Система кондиционирования в составе: внутренний блок прецизионного кондиционера (2 шт), наружный блок конденсатора воздушного охлаждения (2 шт), дренажный насос (2 шт), регулятор давления (2 шт), блок ротации (1 шт) комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4408.105-ОВ.ОЛ4 инв.№026140/0004, 0092.049.Р.13/1.0004.УКПГ.045.4408.105-ОВ.Н4 инв.№026243/0004;ЗЕЛЁНЫЙ;True;AI- | аэро иксиа;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1934;6910-221628;"ООО ""Валком"" , ИНН 7825370005";7825370005;Преобразователь давления корабельный комплектно с табличкой из нержавеющей стали с указанием позиции [5] и прокладкой уплотнительной ПДК-КУ-П 6х18х1 ПДК-ВО-И-10М0-А-2-М20-Н-01-Д20 АТЛМ.406233.00 по типу ТУ-2008№ 50-01/РЧ-000575 от 21 января 2020 г. п. 28. Масса-0,0043 т.;Преобразователь давления корабельный комплектно с табличкой из нержавеющей стали с указанием позиции [5] и прокладкой уплотнительной ПДК-КУ-П 6х18х1 ПДК-ВО-И-10М0-А-2-М20-Н-01-Д20 № 50-01/РЧ-000575 от 21 января 2020 г. п. 28. Масса-0,0043 т;ЗЕЛЁНЫЙ;True;АТЛМ.;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;987;604-470375-Ш;"ООО ""ССТэнергомонтаж"", ИНН 5029120275";5029120275;Шефмонтажные работы. Щит питания и управления электрообогревом по типу ТУ 27.12.31-612-88851935-2019, Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4702.000-ЭОЭ2.ОЛ4 инв.№043627/0004. Масса-0 т.;Шефмонтажные работы. Щит питания и управления электрообогревом, Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4702.000-ЭОЭ2.ОЛ4 инв.№043627/0004. Масса-0 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;273;640-426560;"ООО ""АЭРО ИКСИА"", Россия, г. Брянск, ИНН 3257017280, КПП 526101001, aero@ixia.su";3257017280;Кондиционер прецизионный AI-FC-D-121-A в составе: наружный блок АИ-КСВ012А1р (1 рабочий / 1 резервный - 2шт.), внутренний блок AI-FC-D-121-A (1 рабочий / 1 резервный - 2шт.), дренажная помпа (2 шт.) AI-FC-D-121-A, по типу ТУ 4860-005-22330703-2015 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0077.001-ОВ.ОЛ4 инв.№10173219, 0092.049.Р.13/1.0004.УКПГ.045.0077.001-ОВ.Н4 инв.№10182110№ 50-01/АВ-013210 от 2 апреля 2024 г. п. 8. Масса-0,14 т.;Кондиционер прецизионный в составе: наружный блок (1 рабочий / 1 резервный - 2шт.), внутренний блок (1 рабочий / 1 резервный - 2шт.), дренажная помпа (2 шт.) комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0077.001-ОВ.ОЛ4 инв.№10173219, 0092.049.Р.13/1.0004.УКПГ.045.0077.001-ОВ.Н4 инв.№10182110№ 50-01/АВ-013210 от 2 апреля 2024 г. п. 8. Масса-0,14 т;ЗЕЛЁНЫЙ;True;AI-;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1537;19-494220-С;"ООО ""Восточная арматурная компания"", ИНН 0275057393";0275057393;Кран шаровой DN40, PN 1,6МПа, ручной, под приварку, с приварными патрубками 100 мм, с удлиненным штоком под теплоизоляцию 50 мм, герметичность затвора А по ГОСТ 9544-2015, климатическое исполнение ХЛ1, рабочая среда вода. КШ.1.1-ВАРК-0040-16-01-20 по типу ТУ 3742-008-97965425-2007.;Кран шаровой DN40, PN 1,6МПа, ручной, под приварку, с приварными патрубками 100 мм, с удлиненным штоком под теплоизоляцию 50 мм, герметичность затвора А по ГОСТ 9544-2015, климатическое исполнение ХЛ1, рабочая среда вода. КШ.1.1- -0040-16-01-20;ЗЕЛЁНЫЙ;True;ВАРК;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;196;640-428294;"ООО ""ГенПроВектор"", Россия, г. Нижний Новгород, ИНН 3257032024, КПП 526101001, info@gp-v.ru";3257032024;Блок-бокс канализационной насосной станции промышленных сточных вод по типу ТУ 28.99.39-001-29503638-2020 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.2018.011-ВК.ОЛ инв.№10182101. Масса-12,98 т.;Блок-бокс канализационной насосной станции промышленных сточных вод комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.2018.011-ВК.ОЛ инв.№10182101. Масса-12,98 т;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1931;19-105166-С;"ЗАО ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ХИМСЕРВИС"" ИМЕНИ А.А. ЗОРИНА"", ИНН 7116001422";7116001422;Электрод вспомогательный ВЭ625-10 по типу ТУ 3435-016-24707490-2007.;Электрод вспомогательный ВЭ625-10;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;248;643-435047;"АО ""Пензтяжпромарматура"", Россия, г.Пенза, ИНН 5835014041, КПП 583501001, sales@ptpa.ru";5835014041;Кран шаровой фланцевый, с пневмоприводом, DN400 PN12,5МПа по типу ТУ 3742-013-05749375-2010 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0921.000-ИК3-2.ОЛ10-5 инв.№10172356. Масса-3,785 т.;Кран шаровой фланцевый, с пневмоприводом, DN400 PN12,5МПа комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0921.000-ИК3-2.ОЛ10-5 инв.№10172356. Масса-3,785 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;950;604-456957-Ш;"ООО ""ССТэнергомонтаж"", Россия, г. Мытищи, ИНН 5029120275, КПП 502901001, Info@sst-em.ru";5029120275;Шефмонтажные работы. Щит питания и управления электрообогревом по типу ТУ 27.12.31-612-88851935-2019, Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4702.000-ЭОЭ1.ОЛ2 инв.№028079/0004. Масса-0 т.;Шефмонтажные работы. Щит питания и управления электрообогревом, Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4702.000-ЭОЭ1.ОЛ2 инв.№028079/0004. Масса-0 т;ЗЕЛЁНЫЙ;True;;
