Код Autodocs;Завод;Исходное;v15;Статус;KEEP loss;Idempotence fail;Residual confirmed;Референс
209333;"ООО ""НПО""Гидросфера"", Россия, Москва, ИНН 7718927789, КПП 771801001, info@gidros.ru";Домкрат гидравлический. ДГ10П250 ТУ 4145 004-17384460-2013;Домкрат гидравлический. ДГ10П250 004-17384460-2013;ЗЕЛЁНЫЙ;False;False;;Домкрат гидравлический. ДГ10П250
169759;"ПГ ""Армотэк"", ИНН 7811026940";Блок бетонный Б-1-20-50 Серия 3.503.1-66;Блок бетонный Б-1-20-50 Серия 3.503.1-66;ЗЕЛЁНЫЙ;False;False;;Блок бетонный Б-1-20-50 Серия 3.503.1-66
85931;"ООО ""Волгопромтранс"", Россия, Средняя Ахтуба";Рукав напорный с текстильным каркасом, рукав Б(1)-10-40-53-У ГОСТ 18698-79;Рукав напорный с текстильным каркасом, рукав Б(1)-10-40-53-У ГОСТ 18698-79;ЖЁЛТЫЙ;False;False;;Рукав напорный с текстильным каркасом, рукав Б(1)-10-40-53-У ГОСТ 18698-79
467057;"ПКГ ""Гранат"", ИНН 7826064642";Аспиратор для отбора проб воздуха, габаритные размеры, мм: 230х190х120 А-01 ГОСТ 51945-2002. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3502.209-ХЛ.ОЛ47 (изм.3) инв.№038894/0004;Аспиратор для отбора проб воздуха, габаритные размеры, мм: 230х190х120 А-01 ГОСТ 51945-2002. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3502.209-ХЛ.ОЛ47 (изм.3) инв.№038894/0004;ЗЕЛЁНЫЙ;False;False;;Аспиратор для отбора проб воздуха, габаритные размеры, мм: 230х190х120 А-01 ГОСТ 51945-2002. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.3502.209-ХЛ.ОЛ47 (изм.3) инв.№038894/0004
87433;"АО ""Морозовский химический завод"", Россия, гп. им. Морозова, ИНН 4703068137, КПП 470301001, info@tdmhz.ru";Эмаль полисилоксановая для защиты металлических конструкций и оборудования в качестве грунтовочного слоя Армокот F100 до 300С RAL 7004 (серый) ТУ 2312-009-23354769-2008;Эмаль полисилоксановая для защиты металлических конструкций и оборудования в качестве грунтовочного слоя до 300С RAL 7004 (серый);ЗЕЛЁНЫЙ;False;False;;Эмаль полисилоксановая для защиты металлических конструкций и оборудования в качестве грунтовочного слоя RAL 7004 (серый)
310044;"ЗАО ""Химсервис"", Россия, г.Новомосковск, ИНН 7116001422, КПП 711601001, op@ch-s.ru";Пункт контрольно-измерительный КИП ХС.2.1.6-0.К300х400 ТУ 3435-027-24707490-2010;Пункт контрольно-измерительный КИП ХС.2.1.6-0.К300х400;ЗЕЛЁНЫЙ;False;False;;Пункт контрольно-измерительный КИП ХС.2.1.6-0.К300х400
274911;"ООО ""ПК ""ОПТЭКС"", Россия, Москва";Стеллаж, габаритные размеры, мм: 1200х1000х2500 SGR-V 12104-2,5 ТУ 9693-002-76628652-2014;Стеллаж, габаритные размеры, мм: 1200х1000х2500 SGR-V 12104-2,5;ЖЁЛТЫЙ;False;False;;Стеллаж, габаритные размеры, мм: 1200х1000х2500 SGR-V 12104-2,5
79603;"ООО Профессиональное кухонное оборудование ""Атеси"", Россия, г.Люберцы";"Поддержка для зонта ЗВН, МВО ""Atesy""";"Поддержка для зонта ЗВН, МВО ""Atesy""";ЗЕЛЁНЫЙ;False;False;;"Поддержка для зонта ЗВН, МВО ""Atesy"""
69058;"ООО ""ПолиАртМебель"", ИНН 7725584959";ТВ-подставка. Габариты, мм-600х350х670 ТВ3-60 металлик/прозрачное;ТВ-подставка. Габариты, мм-600х350х670 ТВ3-60 металлик/прозрачное;ЗЕЛЁНЫЙ;False;False;;ТВ-подставка. Габариты, мм-600х350х670 ТВ3-60 металлик/прозрачное
455119;"ООО ""ЕФТ ГРУПП"", ИНН 9715387881";"Оборудование спутниковое в комплекте: приемник EFT М5 GNSS-2шт; комплект контроллера EFT H4-1шт; ПО в контроллер EFT Field Survey; Штатив EFT (фибергласс; винт/клипса; 5,7кг); трегер EFT (с оптическим центриром); адаптер EFT для трегера; веха EFT телескопическая (алюминий; винт; 2.6м); ПО EFT PP для постобработки. EFT M5 RUS";"Оборудование спутниковое в комплекте: приемник EFT М5 GNSS-2шт; комплект контроллера EFT H4-1шт; ПО в контроллер EFT Field Survey; Штатив EFT (фибергласс; винт/клипса; 5,7кг); трегер EFT (с оптическим центриром); адаптер EFT для трегера; веха EFT телескопическая (алюминий; винт; 2.6м); ПО EFT PP для постобработки. EFT M5 RUS";ЗЕЛЁНЫЙ;False;False;;"Оборудование спутниковое в комплекте: приемник EFT М5 GNSS-2шт; комплект контроллера EFT H4-1шт; ПО в контроллер EFT Field Survey; Штатив EFT (фибергласс; винт/клипса; 5,7кг); трегер EFT (с оптическим центриром); адаптер EFT для трегера; веха EFT телескопическая (алюминий; винт; 2.6м); ПО EFT PP для постобработки. EFT M5 RUS"
436743;"АО ""АВИАТЕХ"", ИНН 5243015713";Плотномер ПЛОТ-3Б-1П-Ц-20А-10 АУТП.414122.006 ТУ1;Плотномер ПЛОТ-3Б-1П-Ц-20А-10 АУТП.414122.006;ЗЕЛЁНЫЙ;False;False;;Плотномер ПЛОТ-3Б-1П-Ц-20А-10 АУТП.414122.006
344806;"АО ""РАДИУС Автоматика"", Россия, г.Зеленоград, ИНН 7735100332, КПП 773501001, radius@rza.ru";Устройство для проверки выключателей с номинальным током до 800 А. Габариты 490х300х230 Сатурн-М3 ТУ 4222-006-17326295-06;Устройство для проверки выключателей с номинальным током до 800 А. Габариты 490х300х230 Сатурн-М3;ЗЕЛЁНЫЙ;False;False;;Устройство для проверки выключателей с номинальным током до 800 А. Габариты 490х300х230 Сатурн-М3
125914;"ОАО ""Манотомь"", г.Томск";Манометр показывающий: диаметр корпуса 160 мм-стальной, климатическое исполнение У2, диапазон показаний от 0 до 16 МПа, класс точности 1, с радиальным штуцером без фланца, с резьбой присоединительного штуцера М20х1,5-8g, степень защиты IP53, пломбировка МП4-УУ2-16 МПа-1-IP53-М20х1,5-8g-Пл ТУ 25-02.180335-84;Манометр показывающий: диаметр корпуса 160 мм-стальной, климатическое исполнение У2, диапазон показаний от 0 до 16 МПа, класс точности 1, с радиальным штуцером без фланца, с резьбой присоединительного штуцера М20х1,5-8g, степень защиты IP53, пломбировка МПа-1-IP53-М20х1,5-8g-Пл;ЗЕЛЁНЫЙ;False;False;;Манометр показывающий: диаметр корпуса 160 мм-стальной, климатическое исполнение У2, диапазон показаний от 0 до 16 МПа, класс точности 1, с радиальным штуцером без фланца, с резьбой присоединительного штуцера М20х1,5-8g, степень защиты IP53, пломбировка МП4-УУ2-16 МПа-1-IP53-М20х1,5-8g-Пл
210245;"ООО ""Авалон-Сервис"", Россия, г.Самара";Стенд для испытания дыхательных клапанов. Преобразователь давления 3000 - -3000Па. Диаметр присоединительных фланцев 50,100, 150,200, 250, 350, 500мм. Габариты,мм-650х650х750 СИД-150-500 РД 153-39.2-080-01;Стенд для испытания дыхательных клапанов. Преобразователь давления 3000 - -3000Па. Диаметр присоединительных фланцев 50,100, 150,200, 250, 350, 500мм. Габариты,мм-650х650х750 СИД-150-500 РД 153-39.2-080-01;ЗЕЛЁНЫЙ;False;False;;Стенд для испытания дыхательных клапанов. Преобразователь давления 3000 - -3000Па. Диаметр присоединительных фланцев 50,100, 150,200, 250, 350, 500мм. Габариты,мм-650х650х750 СИД-150-500 РД 153-39.2-080-01
521104;"АО ""Красногвардейский крановый завод"", ИНН 6602001676";Кран мостовой ручной однобалочный подвесной во взрывобезопасном исполнении 1,0-10,2 ТУ 24.00.4912-2007 комплектация по обосновывающему документу 0704.019.Р.14/0.0004.КСПХГ.000.23203.188-ТХ.ОЛ;Кран мостовой ручной однобалочный подвесной во взрывобезопасном исполнении 1,0-10,2 комплектация по обосновывающему документу 0704.019.Р.14/0.0004.КСПХГ.000.23203.188-ТХ.ОЛ;ЗЕЛЁНЫЙ;False;False;;Кран мостовой ручной однобалочный подвесной во взрывобезопасном исполнении 1,0-10,2 комплектация по обосновывающему документу 0704.019.Р.14/0.0004.КСПХГ.000.23203.188-ТХ.ОЛ
283253;"АО ""Корвет"", Россия, д. Казанцево Челябинская обл., ИНН 7460009005, КПП 746001001, CEO@korvet-jsc.ru";Задвижка клиновая DN 80 PN 1,6 МПа из стали 30ХМЛ исп.ХЛ1, tраб.ср.-от -50град.С до +100град.С, tокр.возд.-до -60град.С, фланцевая в комплекте с ответными фланцами исполнение E-F из стали 09Г2С, крепежом и прокладками, с электроприводом РэмТЭК-02 КЗКГЭ3Р-80х1,6-лс3М газ 31лс945нж ТУ 3741-002-08620564-97 Комплектация по обосновывающему документу 0108.152.001.Р.0004.149.0000.0715.331-ТХВ.ОЛ50-6 инв.№10138348;Задвижка клиновая DN 80 PN 1,6 МПа из стали 30ХМЛ исп.ХЛ1, tраб.ср.-от -50град.С до +100град.С, tокр.возд.-до -60град.С, фланцевая в комплекте с ответными фланцами исполнение E-F из стали 09Г2С, крепежом и прокладками, с электроприводом КЗКГЭ3Р-80х1,6-лс3М газ 31лс945нж Комплектация по обосновывающему документу 0108.152.001.Р.0004.149.0000.0715.331-ТХВ.ОЛ50-6 инв.№10138348;ЗЕЛЁНЫЙ;False;False;;Задвижка клиновая DN 80 PN 1,6 МПа из стали 30ХМЛ исп.ХЛ1, tраб.ср.-от -50град.С до +100град.С, tокр.возд.-до -60град.С, фланцевая в комплекте с ответными фланцами исполнение E-F из стали 09Г2С, крепежом и прокладками, с электроприводом РэмТЭК-02 КЗКГЭ3Р-80х1,6-лс3М газ 31лс945нж Комплектация по обосновывающему документу 0108.152.001.Р.0004.149.0000.0715.331-ТХВ.ОЛ50-6 инв.№10138348
163181;"АО ""Барнаульский завод АТИ"", Россия, г.Барнаул, ИНН 2223623411, КПП 222301001, sbyt@barnaul-ati.ru";Шнур асбестовый ШАОН 15 ШАОН 15 ГОСТ 1779-83;Шнур асбестовый ШАОН 15 ШАОН 15 ГОСТ 1779-83;ЗЕЛЁНЫЙ;False;False;;Шнур асбестовый ШАОН 15 ШАОН 15 ГОСТ 1779-83
454501;"ООО ""ФАБРИКА ИГРА"", Россия, г. Истра, ИНН 5017123384, КПП 501701001, shop@superigra.ru";"Стол бильярдный. Габариты, мм-3840х2600х800 ""Алькантара""";"Стол бильярдный. Габариты, мм-3840х2600х800 ""Алькантара""";ЗЕЛЁНЫЙ;False;False;;"Стол бильярдный. Габариты, мм-3840х2600х800 ""Алькантара"""
85992;"ООО Завод ""Световые технологии"", Россия, г.Рязань, ИНН 6229028102, КПП 622901001, info@rzn.LTcompany.com";"Светильник светодиодный с призматическим рассеивателем, встраиваемый в подвесные потолки типа ""Армстронг"", с аварийным блоком питания, мощностью 34 Вт, IP20, УХЛ4 арт. 1499000350 PRIZMA/R 595 EM ТУ 27.40.39-040-88466159-2019";"Светильник светодиодный с призматическим рассеивателем, встраиваемый в подвесные потолки типа ""Армстронг"", с аварийным блоком питания, мощностью 34 Вт, IP20, УХЛ4 PRIZMA/R 595 EM";ЗЕЛЁНЫЙ;False;False;;"Светильник светодиодный с призматическим рассеивателем, встраиваемый в подвесные потолки типа ""Армстронг"", с аварийным блоком питания, мощностью 34 Вт, IP20, УХЛ4 PRIZMA/R 595 EM"
435173;"ООО ""ТЦРИ ""Доступная среда"", Россия, г. Тольятти, ИНН 6321366135, КПП 632101001, 11@sreda63.ru";Подъемник для инвалидов с сопровождающим с металлокаркасной шахтой ДС-01-2-Ш ГОСТ Р 55555-2013 Комплектация по обосновывающему документу 4717.001.Р.0/0.0004.АИЦ.000.4003.001-ТХВ.ОЛ1 инв.№005745/0004;Подъемник для инвалидов с сопровождающим с металлокаркасной шахтой ДС-01-2-Ш ГОСТ Р 55555-2013 Комплектация по обосновывающему документу 4717.001.Р.0/0.0004.АИЦ.000.4003.001-ТХВ.ОЛ1 инв.№005745/0004;ЗЕЛЁНЫЙ;False;False;;Подъемник для инвалидов с сопровождающим с металлокаркасной шахтой ДС-01-2-Ш ГОСТ Р 55555-2013 Комплектация по обосновывающему документу 4717.001.Р.0/0.0004.АИЦ.000.4003.001-ТХВ.ОЛ1 инв.№005745/0004
284250;"ООО ""Данфосс"", ИНН 5017050537";Кран шаровой тип BVR латунный никелированный полнопроходный с внутренней резьбой UNI ISO 7/1 Ду 25 мм, Ру=4 МПа (Тmax=110С, Кvs=39 м3/ч) BVR №065В8209;Кран шаровой тип BVR латунный никелированный полнопроходный с внутренней резьбой UNI ISO 7/1 Ду 25 мм, Ру=4 МПа (Тmax=110С, Кvs=39 м3/ч) BVR №065В8209;ЗЕЛЁНЫЙ;False;False;;Кран шаровой тип BVR латунный никелированный полнопроходный с внутренней резьбой UNI ISO 7/1 Ду 25 мм, Ру=4 МПа (Тmax=110С, Кvs=39 м3/ч) BVR №065В8209
63082;"ОАО ""ГАРО"" , Россия, Москва, ИНН 7701017728, КПП 770101001, zakaz@garo.cc";"Комплект инструмента и оборудования. Габариты футляров, мм -790х540х530; 900х300х420;. КИ-389";"Комплект инструмента и оборудования. Габариты футляров, мм -790х540х530; 900х300х420;. КИ-389";ЗЕЛЁНЫЙ;False;False;;"Комплект инструмента и оборудования. Габариты футляров, мм -790х540х530; 900х300х420;. КИ-389"
314370;"АО ""Завод соединительных деталей"", Россия, г.Омск, ИНН 5504119220, КПП 550101001, zaotdzsd@mail.ru";Тройник Т I 530(18К60)-12,5(18,75)-В-318-60 ТУ 24.52.30-016-97871747-2018;Тройник Т I 530(18К60)-12,5(18,75)-В-318-60;ЗЕЛЁНЫЙ;False;False;;Тройник Т I 530(18К60)-12,5(18,75)-В-318-60
203225;"ОАО ""КМПО"" , Россия, г.Казань, ИНН 1657005416, КПП 166101001, kmpo@oao.kmpo.ru";Двигатель газотурбинный НК-16-18СТД серии 5 (резервный) Технические условия 218.000.000-5ТУ;Двигатель газотурбинный НК-16-18СТД серии 5 (резервный) Технические условия;ЗЕЛЁНЫЙ;False;False;;Двигатель газотурбинный НК-16-18СТД серии 5 (резервный) Технические условия
202710;"САО МО ""Западное Дегунино"", ИНН 7743680743";Шкаф инструментальный. Кол-во отделений, шт - 11. Габариты, мм-1067х458х1007 Арт. 24-71 Great ГОСТ 16371-2014;Шкаф инструментальный. Кол-во отделений, шт - 11. Габариты, мм-1067х458х1007 Great ГОСТ 16371-2014;ЗЕЛЁНЫЙ;False;False;;Шкаф инструментальный. Кол-во отделений, шт - 11. Габариты, мм-1067х458х1007 Great ГОСТ 16371-2014
441467;"ООО ""Неватом"", Россия, Новосибирск, ИНН 5402170450, КПП 540201001, zakaz@nevatom.ru";Заслонка ручная диаметром 125мм из оцинкованной стали, тип присоединения - ниппельное с резиновым уплотнением Р-125-ОЦ.-Н.Н., ТУ 4863-002-58769768-2014;Заслонка ручная диаметром 125мм из оцинкованной стали, тип присоединения - ниппельное с резиновым уплотнением Р-125-ОЦ.-Н.Н;ЗЕЛЁНЫЙ;False;False;;Заслонка ручная диаметром 125мм из оцинкованной стали, тип присоединения - ниппельное с резиновым уплотнением Р-125-ОЦ.-Н.Н.
226325;"ООО ""НПО ""Нефтегазкомплекс-ЭХЗ"", ИНН 6452050569";Блок совместной защиты с дискретным и плавным регулированием тока в комплекте с подставкой для установки на грунт БСЗП-1-25-УХЛ1 ТУ 3415-030-43750384-2017;Блок совместной защиты с дискретным и плавным регулированием тока в комплекте с подставкой для установки на грунт БСЗП-1-25-УХЛ1;ЗЕЛЁНЫЙ;False;False;;Блок совместной защиты с дискретным и плавным регулированием тока в комплекте с подставкой для установки на грунт БСЗП-1-25-УХЛ1
131719;"ЗАО фирма ""Шельф 1"", Россия, Москва";Насос ручной поршневой РПН -1,3/30;Насос ручной поршневой РПН -1,3/30;ЗЕЛЁНЫЙ;False;False;;Насос ручной поршневой РПН -1,3/30
270672;"АО ""Калугаприбор"", ИНН 4028050231";Радиостанция носимая абонентская, 407-473МГц, (в комплекте: батарея 1880мАч, стандартная антенна, зарядное устройство, клипса) СармаТ-9040, ВИУР.464425.004;Радиостанция носимая абонентская, 407-473МГц, (в комплекте: батарея 1880мАч, стандартная антенна, зарядное устройство, клипса) СармаТ-9040, ВИУР.464425.004;ЗЕЛЁНЫЙ;False;False;;Радиостанция носимая абонентская, 407-473МГц, (в комплекте: батарея 1880мАч, стандартная антенна, зарядное устройство, клипса) СармаТ-9040, ВИУР.464425.004
71834;"ОАО ""Павловский Автобус"", Россия, г.Павлово";Автобус, кол-во мест 52 (29+1), №дв.=118кВт/160л.с. Габаритные размеры,мм- 8380х2500х3085. КАВЗ 4235-42 Аврора;Автобус, кол-во мест 52 (29+1), №дв.=118кВт/160л.с. Габаритные размеры,мм- 8380х2500х3085. КАВЗ 4235-42 Аврора;ЗЕЛЁНЫЙ;False;False;;Автобус, кол-во мест 52 (29+1), №дв.=118кВт/160л.с. Габаритные размеры,мм- 8380х2500х3085. КАВЗ 4235-42 Аврора
200386;"ОАО ""Завод Сибгазстройдеталь"", Россия, г.Омск, ИНН 5503095632, КПП 550101001, info@td-sibgas.ru";Тройник П 1-60,3х4-48,3х3,6 ГОСТ 17376-2001;Тройник П 1-60,3х4-48,3х3,6 ГОСТ 17376-2001;ЗЕЛЁНЫЙ;False;False;;Тройник П 1-60,3х4-48,3х3,6 ГОСТ 17376-2001
74228;"ЗАО ""Завод элементов трубопроводов"", Россия, п. Большой Исток, ИНН 6652002594, КПП 668501001, zet@otvod.ru";Переход ПЭ-38х3-32х3 ГОСТ 17378-2001*;Переход ПЭ-38х3-32х3 ГОСТ 17378-2001*;ЗЕЛЁНЫЙ;False;False;;Переход ПЭ-38х3-32х3 ГОСТ 17378-2001*
283724;"АО ""Саратовский арматурный завод"", ИНН 6454051550";Затвор дисковый DN 80, PN 1,0 МПа, тип конструкции - с симметричным диском, тип присоединения - фланцевое с ответными фланцами, крепежом и прокладками, материал седла (уплотнения) - ЭПДМ, материал корпуса - сталь углеродистая, материал диска -коррозионностойкая сталь, тип привода - ручной через редуктор, тип исполнения - запорно-регулирующий, исполнение У2 (от минус 40 до плюс 40 С), рабочая среда (пар, вода) (от минус 40 до плюс 120 С) ЗД0.80.10.31.1232 ТУ 3741-008-55377430-08;Затвор дисковый DN 80, PN 1,0 МПа, тип конструкции - с симметричным диском, тип присоединения - фланцевое с ответными фланцами, крепежом и прокладками, материал седла (уплотнения) - ЭПДМ, материал корпуса - сталь углеродистая, материал диска -коррозионностойкая сталь, тип привода - ручной через редуктор, тип исполнения - запорно-регулирующий, исполнение У2 (от минус 40 до плюс 40 С), рабочая среда (пар, вода) (от минус 40 до плюс 120 С) ЗД0.80.10.31.1232;ЗЕЛЁНЫЙ;False;False;;Затвор дисковый DN 80, PN 1,0 МПа, тип конструкции - с симметричным диском, тип присоединения - фланцевое с ответными фланцами, крепежом и прокладками, материал седла (уплотнения) - ЭПДМ, материал корпуса - сталь углеродистая, материал диска -коррозионностойкая сталь, тип привода - ручной через редуктор, тип исполнения - запорно-регулирующий, исполнение У2 (от минус 40 до плюс 40 С), рабочая среда (пар, вода) (от минус 40 до плюс 120 С) ЗД0.80.10.31.1232
41848;"ООО ""Полигон"", ИНН 7808023788";Стол журнальный стеклянный, Габариты, мм - 925х475х410. Трио-2Т;Стол журнальный стеклянный, Габариты, мм - 925х475х410. Трио-2Т;ЗЕЛЁНЫЙ;False;False;;Стол журнальный стеклянный, Габариты, мм - 925х475х410. Трио-2Т
